iter	Passed	Remaining
894	7368	864
895	7376	856
896	7384	847
897	7393	839
898	7401	831
899	7409	823
900	7417	815
901	7425	806
902	7433	798
903	7441	790
904	7449	781
905	7457	773
906	7465	765
907	7474	757
908	7482	749
909	7490	740
910	7498	732
911	7507	724
912	7514	716
913	7523	707
914	7532	699
915	7540	691
916	7548	683
917	7557	675
918	7564	666
919	7572	658
920	7580	650
921	7589	642
922	7596	633
923	7605	625
924	7613	617
925	7621	609
926	7630	600
927	7639	592
928	7647	584
929	7654	576
930	7662	567
931	7670	559
932	7678	551
933	7686	543
934	7694	534
935	7702	526
936	7711	518
937	7720	510
938	7728	502
939	7736	493
940	7744	485
941	7752	477
942	7760	469
943	7768	460
944	7776	452
945	7785	444
946	7793	436
947	7802	427
948	7811	419
949	7819	411
950	7827	403
951	7834	395
952	7842	386
953	7851	378
954	7859	370
955	7868	362
956	7875	353
957	7884	345
958	7891	337
959	7900	329
960	7907	320
961	7915	312
962	7923	304
963	7931	296
964	7938	287
965	7946	279
966	7954	271
967	7964	263
968	7973	255
969	7983	246
970	7992	238
971	8001	230
972	8009	222
973	8017	214
974	8025	205
975	8034	197
976	8042	189
977	8050	181
978	8059	172
979	8067	164
980	8076	156
981	8084	148
982	8092	139
983	8101	131
984	8109	123
985	8118	115
986	8126	107
987	8134	98
988	8142	90
989	8151	82
990	8159	74
991	8168	65
992	8176	57
993	8184	49
994	8192	41
995	8201	32
996	8208	24
997	8216	16
998	8224	8
999	8232	0
